Title,Description,Price,Categories,ImageUrl
Desert Skies,"Desert Skies takes survival to the air! Build an airship and fly on an adventure through the deserts of the Wild West. Look for places to land and scavenge for loot, expand your airship and craft new equipment, but beware the dangers lurking beneath the sands!",19.99,"Early Access,Indie,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/1048950/header.jpg
Ring of Elysium,"Escape an astonishing disaster in Ring of Elysium, a battle royale shooter developed by Aurora Studio.",0.00,"Early Access,Free to Play,Battle Royale",https://cdn.cloudflare.steamstatic.com/steam/apps/755790/header.jpg
Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,"Neptune, stricken with amnesia, awakes in a mysterious world where 2D reigns supreme. With a little help from her friends, Neptune embark on a journey to regain her memory, save the world, and 3D games as we know it.",39.99,"RPG,Anime,JRPG",https://cdn.cloudflare.steamstatic.com/steam/apps/1016960/header.jpg
METAL GEAR SOLID V: THE PHANTOM PAIN,"Ushering in a new era for the METAL GEAR franchise with cutting-edge technology powered by the Fox Engine, METAL GEAR SOLID V: The Phantom Pain, will provide players a first-rate gaming experience as they are offered tactical freedom to carry out open-world missions.",19.99,"Stealth,Open World,Story Rich",https://cdn.cloudflare.steamstatic.com/steam/apps/287700/header.jpg
TEKKEN 7,"Discover the epic conclusion of the long-time clan warfare between members of the Mishima family. Powered by Unreal Engine 4, the legendary fighting game franchise fights back with stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals.",39.99,"Fighting,Multiplayer,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/389730/header.jpg
Golf It!,"Golf It! is a multiplayer Minigolf game with focus on a dynamic, fun and creative multiplayer experience. One of the most exciting features is a Multiplayer Editor, where you can build and play custom maps together with your friends.",8.99,"Early Access,Mini Golf,Golf",https://cdn.cloudflare.steamstatic.com/steam/apps/571740/header.jpg
Shadow Tactics: Blades of the Shogun,"Shadow Tactics is a hardcore tactical stealth game set in Japan around the Edo period. A new Shogun seizes power over Japan and enforces nationwide peace. In his battle against conspiracy and rebellion, he recruits five specialists with extraordinary skills for assassination, sabotage and espionage.",39.99,"Stealth,Tactical,Ninja",https://cdn.cloudflare.steamstatic.com/steam/apps/418240/header.jpg
Heroes & Generals,"Shoot, blow sh!t up, fly or bark orders in the ultimate Free-to-Play, large scale, multiplayer, shooter experience. Thousands of players in multiple battles fighting one massive war of nations. The first to capture 15 cities takes the glory.",0.00,"Free to Play,World War II,FPS",https://cdn.cloudflare.steamstatic.com/steam/apps/227940/header.jpg
Ultimate Doom,"The complete megahit game that set the world afire. Plus All-New Episode IV: Thy Flesh Consumed. The demons came and the marines died. Except one. You are the last defense against these hell-spawned hordes. Prepare for the most intense mutant-laden, blood-splattered action ever!",14.99,"Classic,FPS,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/2280/header.jpg
GORN,"GORN is a ludicrously violent VR gladiator simulator, made by Free Lives, the developers of Broforce and Genital Jousting.",19.99,"Early Access,VR,Violent",https://cdn.cloudflare.steamstatic.com/steam/apps/578620/header.jpg
DRAGON BALL FighterZ,DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its all-powerful fighters.,59.99,"Fighting,Anime,2D Fighter",https://cdn.cloudflare.steamstatic.com/steam/apps/678950/header.jpg
Fantasy Grounds,Fantasy Grounds is a hybrid application which allows you to play and create your own RPG games. It facilitates this play and provides some optional add-on Adventure modules which can be loaded and played with very little preparation. Each game will require a GameMaster (GM) and one or more players.,7.99,"RPG,Strategy,Software",https://cdn.cloudflare.steamstatic.com/steam/apps/252690/header.jpg
